has_cost,fusion_id,sku_name_pb,sku_level_pb,sku_name,sku_level_osc,sku_category,sku_type,sku_cost,cost_currency,vendor,USD_MRC,USD_NRC,CAD_MRC,CAD_NRC,EUR_MRC,EUR_NRC,GBP_MRC,GBP_NRC
False,1255,10 Terminal Server SAL ( Subscriber Access License),Component,,,,,,,,70.0,0.0,90.0,0.0,,,50.0,0.0
False,5372,10 vCPU - VDC/SC,Component,,,,,,,,,,71.5,0.0,,,,
False,4878,10 vCPU Aptum Cloud,Component,,,,,,,,160.0,0.0,199.0,0.0,,,,
False,1945,10- 19.999 Mbps - 95th percentile (Committed),Component,,,,,,,,499.98,0.0,599.97,0.0,,,379.98,0.0
False,1962,"100 - 249.999 Mbps - 95th percentile (Committed, min 100Mbps)",Component,,,,,,,,2249.99,0.0,2499.99,0.0,,,1249.99,0.0
False,1648,100 Basic 2010 Mailboxes,Component,,,,,,,,350.0,0.0,400.0,0.0,,,250.0,0.0
False,1161,100 Basic Mailbox 100 GB Storage Included,Component,,,,,,,,400.0,0.0,600.0,0.0,,,250.0,0.0
False,4240,100 Concurrent Users using NCP Secure Entry,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,2470,100 Domain Pkg + 500 Resource Records & 10M DNS Queries,Component,,,,,,,,1000.0,0.0,1000.0,0.0,,,625.0,0.0
False,2129,100 GB,Component,,,,,,,,,,,,,,0.0,0.0
False,5435,100 GB - Backup and Storage Restore Points -14 days - VDC/SC,Component,,,,,,,,,,18.0,0.0,,,,
False,369,100 GB Bandwidth Block,Component,,,,,,,,10.0,0.0,10.0,0.0,,,7.0,0.0
False,5295,100 GB RAM - VDC/SC,Component,,,,,,,,,,2325.0,0.0,,,,
False,1857,100 GB SSD,Component,,,,,,,,0.0,0.0,80.0,0.0,,,50.0,0.0
False,2633,100 GB SSD KC100 Mutliplay,Component,,,,,,,,25.0,0.0,,,,,15.0,0.0
False,1599,100 GB SSD SATA,Component,,,,,,,,90.0,0.0,90.0,0.0,,,48.0,0.0
False,1863,100 GB SSD SATA Wordpress,Component,,,,,,,,0.0,214.0,,,,,,
False,2731,100 GB SSD VNX,Component,,,,,,,,481.0,0.0,481.0,0.0,,,300.0,0.0
False,1786,100 GB Series 2 SSD SATA,Component,,,,,,,,80.0,0.0,85.0,0.0,,,53.0,0.0
False,1718,100 GB Storage Block,Component,,,,,,,,0.0,0.0,115.0,0.0,,,62.5,0.0
False,685,100 Gb FTP Backup - Manual Provisioning,Component,,,,,,,,100.0,0.0,100.0,0.0,,,100.0,0.0
False,5354,100 GiB Aptum Storage - VDC/SC,Component,,,,,,,,,,20.0,0.0,,,,
False,1234,100 GigE - POP Access Port Fiber (On Net),TLS,,,,,,,,1100.0,0.0,1500.0,0.0,,,800.0,0.0
False,1077,100 GigE - Primary Access Port,TLS,,,,,,,,,,1000.0,0.0,,,,
False,3400,100 Mbit Access Port,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,5,100 Mbit Connection,Component,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,556,100 Mbit/s Unlimited Bandwidth,Component,,,,,,,,1800.0,0.0,2100.0,0.0,,,,
False,5964,100 Mbps - HA Dedicated Internet Access - VRRP (On Net),Component,,,,,,,,200.0,0.0,200.0,0.0,,,,
False,1189,100 Mbps - POP Access Port Copper (Off Net),TLS,,,,,,,,,,0.0,0.0,,,,
False,1245,100 Mbps - POP Access Port Copper (On Net),TLS,,,,,,,,110.0,0.0,125.0,0.0,,,100.0,0.0
False,1156,100 Mbps - POP Access Port Fiber (Off Net),TLS,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
False,1157,100 Mbps - POP Access Port Fiber (On Net),TLS,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
